title,release date,phase,film/tv,tconst
Iron Man,2008-05,1,Film,tt0371746
The Incredible Hulk,2008-06,1,Film,tt0800080
Iron Man 2,2010-05,1,Film,tt1228705
Thor,2011-05,1,Film,tt0800369
Captain America: The First Avenger,2011-07,1,Film,tt0458339
The Avengers,2012-05,1,Film,tt0848228

Iron Man 3,2013-05,2,Film,tt1300854
Thor: The Dark World,2013-11,2,Film,tt1981115
Captain America: The Winter Soldier,2014-04,2,Film,tt1843866
Guardians of the Galaxy,2014-08,2,Film,tt2015381
Avengers: Age of Ultron,2015-05,2,Film,tt2395427
Ant-Man,2015-07,2,Film,tt0478970

Captain America: Civil War,2016-05,3,Film,tt3498820
Doctor Strange,2016-11,3,Film,tt1211837
Guardians of the Galaxy Vol. 2,2017-05,3,Film,tt3896198
Spider-Man: Homecoming,2017-07,3,Film,tt2250912
Thor: Ragnarok,2017-11,3,Film,tt3501632
Black Panther,2018-02,3,Film,tt1825683
Avengers: Infinity War,2018-04,3,Film,tt4154756
Ant-Man and the Wasp,2018-07,3,Film,tt5095030
Avengers: Endgame,2019-04,3,Film,tt4154796
Spider-Man: Far From Home,2019-07,3,Film,tt6320628

WandaVision,2021-01,4,TV (Disney+),tt9140560
Black Widow,2021-07,4,Film,tt3480822
Shang-Chi and the Legend of the Ten Rings,2021-09,4,Film,tt9376612
Eternals,2021-11,4,Film,tt9032400
Spider-Man: No Way Home,2021-12,4,Film,tt10872600
Doctor Strange in the Multiverse of Madness,2022-05,4,Film,tt9419884
Thor: Love and Thunder,2022-07,4,Film,tt10648342
Black Panther: Wakanda Forever,2022-11,4,Film,tt9114286

The Falcon and the Winter Soldier,2021-03,4,TV (Disney+),tt9208876
Loki (Season 1),2021-06,4,TV (Disney+),tt9140554
What If...? (Season 1),2021-08,4,TV (Disney+),tt10168312
Hawkeye,2021-11,4,TV (Disney+),tt10160804
Moon Knight,2022-03,4,TV (Disney+),tt10234724
Ms. Marvel,2022-06,4,TV (Disney+),tt10857164
She-Hulk: Attorney at Law,2022-08,4,TV (Disney+),tt10857160
I Am Groot (Season 1),2022-08,4,TV (Disney+),tt13623136
Werewolf by Night (Special),2022-10,4,TV (Disney+),tt15318872
The Guardians of the Galaxy Holiday Special,2022-11,4,TV (Disney+),tt13623148
Ant-Man and the Wasp: Quantumania,2023-02,5,Film,tt10954600
Guardians of the Galaxy Vol. 3,2023-05,5,Film,tt6791350
Secret Invasion,2023-06,5,TV (Disney+),tt13157618
I Am Groot (Season 2),2023-09,5,TV (Disney+),tt28112290
Loki (Season 2),2023-10,5,TV (Disney+),tt14094206
The Marvels,2023-11,5,Film,tt10676048

What If...? (Season 2),2023-12,5,TV (Disney+),tt13622776
Echo,2024-01,5,TV (Disney+),tt13966962
Your Friendly Neighborhood Spider-Man,2025-01,5,TV (Disney+),tt16027074
Captain America: Brave New World,2025-02,5,Film,tt14513804
Daredevil: Born Again,2025-03,5,TV (Disney+),tt18923754
Thunderbolts*,2025-05,5,Film,tt16446582
Ironheart,2025-06,5,TV (Disney+),tt13623126
The Fantastic Four: First Steps,2025-07,6,Film,tt10676052
Eyes of Wakanda,2025-08,5,TV (Disney+),tt13968252
Marvel Zombies,2025-10,5,TV (Disney+),tt16027014
Wonder Man,2025-12,5,TV (Disney+),tt21066182

