title,release date,phase,film/tv,tconst,averageRating,numVotes
Iron Man,2008-05,1,Film,tt0371746,7.9,1199197
The Incredible Hulk,2008-06,1,Film,tt0800080,6.6,555195
Iron Man 2,2010-05,1,Film,tt1228705,6.9,920923
Thor,2011-05,1,Film,tt0800369,7.0,950526
Captain America: The First Avenger,2011-07,1,Film,tt0458339,6.9,951309
The Avengers,2012-05,1,Film,tt0848228,8.0,1533624
Iron Man 3,2013-05,2,Film,tt1300854,7.1,949301
Thor: The Dark World,2013-11,2,Film,tt1981115,6.7,765160
Captain America: The Winter Soldier,2014-04,2,Film,tt1843866,7.7,954841
Guardians of the Galaxy,2014-08,2,Film,tt2015381,8.0,1341445
Avengers: Age of Ultron,2015-05,2,Film,tt2395427,7.3,980730
Ant-Man,2015-07,2,Film,tt0478970,7.2,767161
Captain America: Civil War,2016-05,3,Film,tt3498820,7.8,909191
Doctor Strange,2016-11,3,Film,tt1211837,7.5,863809
Guardians of the Galaxy Vol. 2,2017-05,3,Film,tt3896198,7.6,812861
Spider-Man: Homecoming,2017-07,3,Film,tt2250912,7.4,778143
Thor: Ragnarok,2017-11,3,Film,tt3501632,7.9,876311
Black Panther,2018-02,3,Film,tt1825683,7.3,893898
Avengers: Infinity War,2018-04,3,Film,tt4154756,8.4,1331514
Ant-Man and the Wasp,2018-07,3,Film,tt5095030,7.0,484686
Avengers: Endgame,2019-04,3,Film,tt4154796,8.4,1402040
Spider-Man: Far From Home,2019-07,3,Film,tt6320628,7.3,618712
WandaVision,2021-01,4,TV (Disney+),tt9140560,7.9,407075
Black Widow,2021-07,4,Film,tt3480822,6.6,466747
Shang-Chi and the Legend of the Ten Rings,2021-09,4,Film,tt9376612,7.3,477268
Eternals,2021-11,4,Film,tt9032400,6.2,418644
Spider-Man: No Way Home,2021-12,4,Film,tt10872600,8.2,986904
Doctor Strange in the Multiverse of Madness,2022-05,4,Film,tt9419884,6.9,531160
Thor: Love and Thunder,2022-07,4,Film,tt10648342,6.1,448302
Black Panther: Wakanda Forever,2022-11,4,Film,tt9114286,6.6,344179
The Falcon and the Winter Soldier,2021-03,4,TV (Disney+),tt9208876,7.1,274944
Loki (Season 1),2021-06,4,TV (Disney+),tt9140554,8.2,459663
What If...? (Season 1),2021-08,4,TV (Disney+),tt10168312,7.3,157591
Hawkeye,2021-11,4,TV (Disney+),tt10160804,7.4,237486
Moon Knight,2022-03,4,TV (Disney+),tt10234724,7.3,302847
Ms. Marvel,2022-06,4,TV (Disney+),tt10857164,6.2,129054
She-Hulk: Attorney at Law,2022-08,4,TV (Disney+),tt10857160,5.2,205448
I Am Groot (Season 1),2022-08,4,TV (Disney+),tt13623136,6.9,105979
Werewolf by Night (Special),2022-10,4,TV (Disney+),tt15318872,7.1,77874
The Guardians of the Galaxy Holiday Special,2022-11,4,TV (Disney+),tt13623148,6.7,44979
Ant-Man and the Wasp: Quantumania,2023-02,5,Film,tt10954600,6.0,261353
Guardians of the Galaxy Vol. 3,2023-05,5,Film,tt6791350,7.9,452894
Secret Invasion,2023-06,5,TV (Disney+),tt13157618,5.8,87919
I Am Groot (Season 2),2023-09,5,TV (Disney+),tt28112290,,
Loki (Season 2),2023-10,5,TV (Disney+),tt14094206,7.8,3259
The Marvels,2023-11,5,Film,tt10676048,5.5,157986
What If...? (Season 2),2023-12,5,TV (Disney+),tt13622776,7.4,136536
Echo,2024-01,5,TV (Disney+),tt13966962,5.9,47364
Your Friendly Neighborhood Spider-Man,2025-01,5,TV (Disney+),tt16027074,,
Captain America: Brave New World,2025-02,5,Film,tt14513804,5.6,169950
Daredevil: Born Again,2025-03,5,TV (Disney+),ttZZZZZZZ,,
Thunderbolts*,2025-05,5,Film,tt16446582,,
Ironheart,2025-06,5,TV (Disney+),ttAAAAAAA,,
The Fantastic Four: First Steps,2025-07,6,Film,tt10676052,6.9,203288
Eyes of Wakanda,2025-08,5,TV (Disney+),ttBBBBBBB,,
Marvel Zombies,2025-10,5,TV (Disney+),ttCCCCCCC,,
Wonder Man,2025-12,5,TV (Disney+),ttDDDDDDD,,
