nconst,primaryName,birthYear,deathYear,profession,tconst
nm0000256,Jenny Agutter,1952,\N,actress,tt0848228
nm0000291,Angela Bassett,1958,\N,actress,tt1825683
nm0000291,Angela Bassett,1958,\N,actress,tt9114286
nm0000317,Clancy Brown,1959,\N,actor,tt3501632
nm0000335,Glenn Close,1947,\N,actress,tt2015381
nm0000375,Robert Downey Jr.,1965,\N,actor,tt0371746
nm0000375,Robert Downey Jr.,1965,\N,actor,tt1300854
nm0000375,Robert Downey Jr.,1965,\N,actor,tt4154796
nm0000375,Robert Downey Jr.,1965,\N,actor,tt0848228
nm0000481,Alice Krige,1954,\N,actress,tt1981115
nm0000569,Gwyneth Paltrow,1972,\N,actress,tt1300854
nm0000604,John C. Reilly,1965,\N,actor,tt2015381
nm0000620,Mickey Rourke,1952,\N,actor,tt1228705
nm0000652,James Spader,1960,\N,actor,tt2395427
nm0000948,Shane Black,1961,\N,actor,tt1300854
nm0000959,Powers Boothe,1948,2017,actor,tt0848228
nm0000982,Josh Brolin,1968,\N,actor,tt4154796
nm0000982,Josh Brolin,1968,\N,actor,tt4154756
nm0001052,Kurt Cobain,1967,1994,actor,tt3480822
nm0001125,Benicio Del Toro,1967,\N,actor,tt2015381
nm0001172,Christopher Eccleston,1964,\N,actor,tt1981115
nm0001327,David Hasselhoff,1952,\N,actor,tt3896198
nm0001344,Gregg Henry,\N,\N,actor,tt2015381
nm0001426,Ben Kingsley,1943,\N,actor,tt1300854
nm0001672,Joan Rivers,1933,2014,actress,tt1300854
nm0001804,Stanley Tucci,1960,\N,actor,tt0458339
nm0001845,Forest Whitaker,1961,\N,actor,tt1825683
nm0001914,Adam Ant,1954,\N,actor,tt0478970
nm0002006,Thomas Haden Church,1960,\N,actor,tt10872600
nm0002033,Tyne Daly,1946,\N,actress,tt2250912
nm0002069,Mimsy Farmer,1945,\N,actress,tt2015381
nm0002073,Lou Ferrigno,1951,\N,actor,tt0800080
nm0002468,Knox White,1963,\N,actor,tt10872600
nm0002719,Vincent Lascoumes,1959,\N,actor,tt9376612
nm0002719,Vincent Lascoumes,1959,\N,actor,tt3501632
nm0002756,Cal Johnson,\N,\N,actor,tt5095030
nm0002853,Chris Petts,\N,\N,actor,tt3480822
nm0002853,Chris Petts,\N,\N,actor,tt4154796
nm0002888,Stephen Blackehart,\N,\N,actor,tt3896198
nm0002888,Stephen Blackehart,\N,\N,actor,tt6791350
nm0002888,Stephen Blackehart,\N,\N,actor,tt2015381
nm0003087,Simon Downes,\N,\N,actor,tt3480822
nm0003153,Randy Moore,1949,2023,actor,tt0848228
nm0003202,David G. Russell,\N,\N,actor,tt13622776
nm0003202,David G. Russell,\N,\N,actor,tt9419884
nm0003834,John Stoneham Jr.,\N,\N,actor,tt0800080
nm0004127,David McKail,1938,2021,actor,tt0458339
nm0004178,Jeff Wolfe,\N,\N,actor,tt0848228
nm0004444,Askia Won-Ling Jacob,\N,\N,actress,tt1843866
nm0004554,Ben Hernandez Bray,\N,\N,actor,tt0371746
nm0004557,Matt Granger,\N,\N,actor,tt6263850
nm0004704,Herb Alpert,1935,\N,actor,tt1300854
nm0004731,Garcelle Beauvais,1966,\N,actress,tt2250912
nm0004753,Leslie Bibb,1973,\N,actress,tt0371746
nm0004753,Leslie Bibb,1973,\N,actress,tt1228705
nm0004802,Linda Cardellini,1975,\N,actress,tt2395427
nm0004840,Alice Cooper,1948,\N,actor,tt6791350
nm0004855,Mike D,1965,\N,actor,tt10872600
nm0004874,Vin Diesel,1967,\N,actor,tt2015381
nm0004945,Garbage,\N,\N,actor,tt4154664
nm0004964,Dale Godboldo,1975,\N,actor,tt0800369
nm0005023,Djimon Hounsou,1964,\N,actor,tt2015381
nm0005024,Terrence Howard,1969,\N,actor,tt0371746
nm0005053,Joan Jett,1958,\N,actress,tt2015381
nm0005070,Montell Jordan,1968,\N,actor,tt9376612
nm0005175,Bill Maher,1956,\N,actor,tt1300854
nm0005351,Ryan Reynolds,1976,\N,actor,tt6263850
nm0005391,Rick Rubin,1963,\N,actor,tt10872600
nm0005566,Steve Winwood,1948,\N,actor,tt2250912
nm0005566,Steve Winwood,1948,\N,actor,tt4154796
nm0005991,Sammy Cahn,1913,1993,actor,tt1843866
nm0006205,Mark Mothersbaugh,1950,\N,actor,tt3501632
nm0006568,Maria Callas,1923,1977,actress,tt2395427
nm0007049,Garth Inns,1943,2021,actor,tt0458339
nm0007078,Julian Bucknall,\N,\N,actor,tt0458339
nm0007167,John Ashker,1964,\N,actor,tt0800080
nm0007169,Scott Ramirez,\N,\N,actor,tt0800369
nm0009319,Brad Abrell,1965,\N,actor,tt10676052
nm0009540,AC/DC,\N,\N,actor,tt0371746
nm0009540,AC/DC,\N,\N,actor,tt0848228
nm0010611,Piotr Adamczyk,1972,\N,actor,tt10160804
nm0011121,Keith Adams,\N,\N,actor,tt9114286
nm0012432,Bob Adrian,\N,\N,actor,tt2250912
nm0014135,Ahmed Ahmed,1970,\N,actor,tt0371746
nm0014884,Matt Aitken,\N,\N,actor,tt4154796
nm0014884,Matt Aitken,\N,\N,actor,tt4154756
nm0014895,Tom Aitken,1968,\N,actor,tt2395427
nm0015904,Bradley James Allan,1973,2021,actor,tt9376612
nm0016260,Alba Albanese,\N,\N,actress,tt0848228
nm0018478,Jaden Alexander,\N,\N,actress,tt0478970
nm0018550,Kenny Alexander,\N,\N,actor,tt1843866
nm0020035,Hamish Allan-Headley,\N,\N,actor,tt18923754
nm0020201,Joe Allegro,\N,\N,actor,tt1825683
nm0021194,Gonzalo Allende,\N,\N,actor,tt6320628
nm0022771,Steve Alterman,1963,\N,actor,tt0371746
nm0023040,Rod Maxwell,\N,\N,actor,tt9114286
nm0023927,Christiane Amanpour,1958,\N,actress,tt1228705
nm0024488,Jillian Amburgey,\N,\N,actor,tt1825683
nm0025181,Jay Amor,\N,\N,actor,tt1825683
nm0025305,Hank Amos,\N,\N,actor,tt1825683
nm0025305,Hank Amos,\N,\N,actor,tt6791350
nm0025305,Hank Amos,\N,\N,actor,tt1211837
nm0027164,Matthew R. Anderson,\N,\N,actor,tt1843866
nm0030609,Pasquale Anselmo,1958,\N,actor,tt0371746
nm0031357,Giorgio Antonini,\N,2024,actor,tt2395427
nm0031493,Christopher 'Critter' Antonucci,\N,\N,actor,tt1825683
nm0031493,Christopher 'Critter' Antonucci,\N,\N,actor,tt4154796
nm0032119,Allan A. Apone,1953,\N,actor,tt1843866
nm0032126,Gina Aponte,\N,\N,actress,tt10872600
nm0032711,Fríða Aradóttir,1951,\N,actress,tt0800080
nm0037031,Don Aros,\N,\N,actor,tt1843866
nm0038355,Tadanobu Asano,1973,\N,actor,tt3501632
nm0038355,Tadanobu Asano,1973,\N,actor,tt0800369
nm0038669,Taryn Ash,\N,\N,actress,tt0800080
nm0038935,Nick Ashford,1942,2011,actor,tt2015381
nm0039196,Christian Ashton,\N,\N,actor,tt2395427
nm0040653,Sharif Atkins,1975,\N,actor,tt2015381
nm0040695,David Atkinson,\N,\N,actor,tt14513804
nm0040793,Ruth Atkinson,\N,\N,actress,tt2015381
nm0041110,John Attwell,\N,\N,actor,tt1981115
nm0041816,Pierre Auger,\N,\N,actor,tt10872600
nm0042348,Austin Priester,\N,\N,actor,tt3498820
nm0042410,Jane Austin,\N,\N,actress,tt10648342
nm0042464,Mark Anthony Austin,\N,\N,actor,tt0848228
nm0043063,Mike Avery,\N,\N,actor,tt9114286
nm0043806,Roy Ayers,1940,2025,actor,tt0478970
nm0043806,Roy Ayers,1940,2025,actor,tt5095030
nm0043932,Gloria Winship Ayon,\N,\N,actress,tt1211837
nm0044367,Hurby 'Luv Bug' Azor,\N,\N,actor,tt4154664
nm0045594,Tony Bacigalupi,\N,\N,actor,tt10872600
nm0046009,Tayfun Bademsoy,1958,\N,actor,tt0848228
nm0046037,Ernst Bader,1914,1999,actor,tt6320628
nm0046087,Jennifer Badger,\N,\N,actress,tt4154796
nm0046223,Sayed Badreya,1957,\N,actor,tt0371746
nm0046380,Rick Baer,\N,\N,actor,tt2395427
nm0046514,Oliver Bigalke,1968,\N,actor,tt3498820
nm0047444,Philip Bailey,1951,\N,actor,tt6791350
nm0047444,Philip Bailey,1951,\N,actor,tt1211837
nm0047469,Roger Bailey,1954,\N,actor,tt0800080
nm0048329,Chet Baker,1929,1988,actor,tt3498820
nm0049026,Zene Baker,\N,\N,actor,tt9140560
nm0049026,Zene Baker,\N,\N,actor,tt3501632
nm0050035,Andy Bale,\N,\N,actor,tt9419884
nm0050851,Patrick Ballin,\N,\N,actor,tt1300854
nm0051479,Firdous Bamji,1966,\N,actor,tt10676052
nm0052111,Brittney Banks,\N,\N,actress,tt0800080
nm0052294,Berj Bannayan,\N,\N,actor,tt0800080
nm0053366,Clayton J. Barber,\N,\N,actor,tt1825683
nm0054878,Emmy Barker,\N,\N,actress,tt9376612
nm0056461,Aaron Barr,\N,\N,actor,tt3480822
nm0056461,Aaron Barr,\N,\N,actor,tt1825683
nm0057294,Syd Barrett,1946,2006,actor,tt1211837
nm0059779,Ismail Bashey,\N,\N,actor,tt0848228
nm0059985,Johannes Berenz,1965,\N,actor,tt0458339
nm0059985,Johannes Berenz,1965,\N,actor,tt1843866
nm0060819,Robert Bateman,1936,2016,actor,tt4154664
nm0062178,Mike Bauman,\N,\N,actor,tt10872600
nm0062639,Craig Baxley Jr.,\N,\N,actor,tt0458339
nm0062648,Hunter Baxley,\N,\N,actor,tt1825683
nm0064011,Christopher Beasley,\N,\N,actor,tt2395427
nm0064348,Julie Beauchemin,\N,\N,actress,tt4154756
nm0064950,Lukás Bech,1972,\N,actor,tt6320628
nm0065100,Christophe Beck,1968,\N,actor,tt0478970
nm0066665,Lou Bega,1975,\N,actor,tt1300854
nm0067205,Dayna Beilenson,1961,\N,actress,tt9140554
nm0067574,Charles Belardinelli,\N,\N,actor,tt0371746
nm0068150,Dexter Bell,\N,\N,actor,tt9114286
nm0068497,Ron Bell,\N,\N,actor,tt0800080
nm0068798,Ekkehardt Belle,1954,2022,actor,tt0800080
nm0071228,Mike Benitez,\N,\N,actor,tt10857160
nm0071416,Tina Benko,\N,\N,actress,tt0848228
nm0071680,Clé Bennett,\N,\N,actor,tt9208876
nm0072380,Nick Benseman,\N,\N,actor,tt10872600
nm0073683,Aaron Berg,\N,\N,actor,tt0800080
nm0074468,Philippe Bergeron,1959,\N,actor,tt1228705
nm0075025,Christopher Bergschneider,\N,\N,actor,tt1843866
nm0076125,Alain Bernard,\N,\N,actor,tt9140554
nm0076372,Richard Bernard,\N,\N,actor,tt0371746
nm0077494,Bill Berry,1958,\N,actor,tt4154664
nm0077512,Christopher Berry,\N,\N,actor,tt2250912
nm0077822,Sandor Bertalan,1962,\N,actor,tt3480822
nm0078499,Justus-Berumen Sandy,\N,\N,actress,tt0371746
nm0079202,Stewart Bethune,\N,\N,actor,tt0800080
nm0079219,Oliver Betke,1966,\N,actor,tt0458339
nm0079273,Paul Bettany,1971,\N,actor,tt9140560
nm0080401,Anjali Bhimani,\N,\N,actress,tt10857164
nm0081608,Dani Biernat,1969,\N,actress,tt2015381
nm0081722,Giancarlo Bigazzi,1940,2012,actor,tt6320628
nm0082526,Peter Billingsley,1971,\N,actor,tt0371746
nm0082526,Peter Billingsley,1971,\N,actor,tt6320628
nm0083508,Bryan Birge,\N,\N,actor,tt9114286
nm0083654,Gigi Bermingham,\N,\N,actress,tt9114286
nm0084468,Walter Bithell ICLS,\N,\N,actor,tt4154664
nm0085944,Paul Blackwell,\N,\N,actor,tt2015381
nm0085949,Richard L. Blackwell,1956,\N,actor,tt3498820
nm0087477,Boris Blank,1952,\N,actor,tt2250912
nm0088045,Julian Bleach,1963,\N,actor,tt2395427
nm0090309,Russell Bobbitt,\N,\N,actor,tt4154796
nm0090309,Russell Bobbitt,\N,\N,actor,tt4154756
nm0090309,Russell Bobbitt,\N,\N,actor,tt3896198
nm0090309,Russell Bobbitt,\N,\N,actor,tt3498820
nm0090862,Leon Boden,1958,2020,actor,tt0371746
nm0091499,Jens-Uwe Bogadtke,1957,\N,actor,tt9114286
nm0092348,Damien Boisseau,\N,\N,actor,tt4154796
nm0092476,Jordi Boixaderas,1959,\N,actor,tt10872600
nm0094163,Eugenie Bondurant,1961,\N,actress,tt15318872
nm0094399,Óscar Bonfiglio,\N,\N,actor,tt4154756
nm0094648,Sergio Bonilla,\N,\N,actor,tt4154796
nm0097952,Mark Bosia,\N,\N,actor,tt9376612
nm0097952,Mark Bosia,\N,\N,actor,tt0478970
nm0098275,Rick Boston,\N,\N,actor,tt0371746
nm0098442,Niki Botelho,\N,\N,actress,tt13622776
nm0098985,David Boucher,1968,\N,actor,tt2250912
nm0099601,Grant Boulton,\N,\N,actor,tt0458339
nm0099601,Grant Boulton,\N,\N,actor,tt2015381
nm0099601,Grant Boulton,\N,\N,actor,tt2395427
nm0099764,Jeannine Bourdaghs,\N,\N,actress,tt6791350
nm0099764,Jeannine Bourdaghs,\N,\N,actress,tt9114286
nm0099764,Jeannine Bourdaghs,\N,\N,actress,tt10954600
nm0101270,Eddie Bowlin,\N,\N,actor,tt1300854
nm0101270,Eddie Bowlin,\N,\N,actor,tt5095030
nm0101670,Tommy Boyce,1939,1994,actor,tt3896198
nm0102453,Petr Bozdech,\N,\N,actor,tt6320628
nm0104111,Jake Brake,\N,\N,actor,tt1300854
nm0104787,Michael Brandon,1945,\N,actor,tt0458339
nm0104790,Nick Brandon,\N,\N,actor,tt1300854
nm0104790,Nick Brandon,\N,\N,actor,tt1211837
nm0105012,Volker Brandt,1935,\N,actor,tt0478970
nm0105012,Volker Brandt,1935,\N,actor,tt4154796
